platform;device;work_size_x;work_size_y;ms_exec1;ms_overhead1;ms_exec2;ms_overhead2;ms_exec3;ms_overhead3;ms_exec4;ms_overhead4;ms_exec5;ms_overhead5
0;2;1;25;3.56294e+07;1000;3.56293e+07;1000;3.56384e+07;1000;3.56325e+07;1000;3.5631e+07;1000
0;2;1;26;3.47422e+07;1000;3.47421e+07;1000;3.47414e+07;1000;3.47418e+07;1000;3.47402e+07;1000
0;2;1;27;3.29608e+07;1000;3.29643e+07;1000;3.29611e+07;1000;3.29621e+07;1000;3.2961e+07;1000
0;2;1;28;3.20747e+07;1000;3.20742e+07;1000;3.20739e+07;1000;3.2075e+07;1000;3.20749e+07;1000
0;2;1;29;3.11851e+07;1000;3.11866e+07;1000;3.11869e+07;1000;3.11834e+07;1000;3.11862e+07;1000
0;2;1;30;3.02949e+07;1000;3.02942e+07;1000;3.02962e+07;1000;3.02957e+07;1000;3.0297e+07;1000
0;2;1;31;2.94045e+07;1000;2.94059e+07;1000;2.94027e+07;1000;2.94046e+07;1000;2.94026e+07;1000
0;2;1;32;2.85214e+07;1000;2.85242e+07;1000;2.85224e+07;1000;2.85243e+07;1000;2.85232e+07;1000
0;2;1;33;2.76339e+07;1000;2.76336e+07;1000;2.76325e+07;1000;2.76309e+07;1000;2.76334e+07;1000
0;2;1;34;2.67602e+07;1000;2.6757e+07;1000;2.67526e+07;1000;2.67542e+07;1000;2.67533e+07;1000
0;2;1;35;2.58622e+07;1000;2.58637e+07;1000;2.58632e+07;1000;2.58678e+07;1000;2.58608e+07;1000
0;2;1;36;2.4977e+07;1000;2.49784e+07;1000;2.49789e+07;1000;2.49741e+07;1000;2.49824e+07;1000
0;2;1;37;2.40922e+07;1000;2.40898e+07;1000;2.40904e+07;1000;2.40912e+07;1000;2.40949e+07;1000
0;2;1;38;2.32008e+07;1000;2.3205e+07;1000;2.32022e+07;1000;2.32018e+07;1000;2.32016e+07;1000
0;2;1;39;2.3196e+07;1000;2.31944e+07;1000;2.31933e+07;1000;2.31954e+07;1000;2.31971e+07;1000
0;2;1;40;2.2312e+07;1000;2.23106e+07;1000;2.2311e+07;1000;2.23102e+07;1000;2.23125e+07;1000
0;2;1;41;2.14278e+07;1000;2.14238e+07;1000;2.14235e+07;1000;2.14262e+07;1000;2.14253e+07;1000
0;2;1;42;2.1424e+07;1000;2.14218e+07;1000;2.14242e+07;1000;2.14202e+07;1000;2.1423e+07;1000
0;2;1;43;2.0532e+07;1000;2.05344e+07;1000;2.05358e+07;1000;2.05363e+07;1000;2.05322e+07;1000
0;2;1;44;2.05344e+07;1000;2.05347e+07;1000;2.05331e+07;1000;2.05328e+07;1000;2.05331e+07;1000
0;2;1;45;1.96474e+07;1000;1.96494e+07;1000;1.96507e+07;1000;1.96518e+07;1000;1.9649e+07;1000
0;2;1;46;1.9647e+07;1000;1.96469e+07;1000;1.96478e+07;1000;1.96499e+07;1000;1.96491e+07;1000
0;2;1;47;1.87549e+07;1000;1.87597e+07;1000;1.87621e+07;1000;1.87525e+07;1000;1.8755e+07;1000
0;2;1;48;1.87606e+07;1000;1.87582e+07;1000;1.87574e+07;1000;1.87613e+07;1000;1.87592e+07;1000
0;2;1;49;1.78704e+07;1000;1.78661e+07;1000;1.78672e+07;1000;1.78645e+07;1000;1.78661e+07;1000
0;2;1;50;1.78822e+07;1000;1.78827e+07;1000;1.78805e+07;1000;1.78781e+07;1000;1.78792e+07;1000
0;2;1;51;1.78832e+07;1000;1.78819e+07;1000;1.78774e+07;1000;1.78797e+07;1000;1.78779e+07;1000
0;2;1;52;1.6996e+07;1000;1.69894e+07;1000;1.69909e+07;1000;1.69918e+07;1000;1.6996e+07;1000
0;2;1;53;1.69957e+07;1000;1.69946e+07;1000;1.69979e+07;1000;1.69952e+07;1000;1.69957e+07;1000
0;2;1;54;1.61019e+07;1000;1.61021e+07;1000;1.61035e+07;1000;1.6101e+07;1000;1.61034e+07;1000
0;2;1;55;1.61013e+07;1000;1.61002e+07;1000;1.61037e+07;1000;1.61075e+07;1000;1.61072e+07;1000
